entry_date,exit_date,code,entry_price,exit_price,gross_return,net_return,score,factors,exit_reason,industry,holding_days
2024-03-12,2024-03-12,000034,33.87,32.18,-5.0,-5.2,60.97012446505474,"{'trend': 2.4862004462144007, 'momentum': 2.8232762652155623, 'quality': -0.21770324113318412, 'sentiment': -1.797145232796355, 'valuation': 0.5201634633840536, 'liquidity': 1.5409008582055492, 'size': -0.5810440935515133}",止损(-5%),其他,1
2024-03-13,2024-03-13,000021,15.48,14.98,-3.2,-3.4,60.457914846514456,"{'trend': 1.6888287782355083, 'momentum': 1.721201631363249, 'quality': -0.2101620373190346, 'sentiment': 0.3579288351814307, 'valuation': 0.6819041439664553, 'liquidity': 0.3821161329122815, 'size': -0.002070101200001715}",T+1平仓,其他,1
2024-03-14,2024-03-14,000030,5.14,5.01,-2.37,-2.57,55.83058811388388,"{'trend': 0.5829702344907032, 'momentum': 0.710835806430218, 'quality': -0.20156845902105328, 'sentiment': 0.41093309749288603, 'valuation': 1.1520630860635561, 'liquidity': -1.0935007429230885, 'size': 1.0260264677709776}",T+1平仓,其他,1
2024-03-15,2024-03-15,000045,9.79,9.79,0.05,-0.15,56.2326207129183,"{'trend': 0.9699777476176982, 'momentum': 1.542985762602394, 'quality': -0.24657185663348288, 'sentiment': 0.9782882502233927, 'valuation': -0.29376122437072233, 'liquidity': -0.7757567821301866, 'size': 0.7754263128487392}",T+1平仓,其他,1
2024-03-18,2024-03-18,000034,32.6,32.46,-0.45,-0.65,62.46853241559291,"{'trend': 2.4419701406035106, 'momentum': 1.8308135168874082, 'quality': -0.22186015874428308, 'sentiment': 0.3158733823405426, 'valuation': 0.44848897874364596, 'liquidity': 1.4934015632012856, 'size': -0.4765655573113232}",T+1平仓,其他,1
2024-03-19,2024-03-19,000026,10.49,10.43,-0.57,-0.77,57.72258615552771,"{'trend': 0.5735003349342533, 'momentum': 0.4859646467526545, 'quality': -0.21560500250934503, 'sentiment': 2.288118092760848, 'valuation': 0.0007267489237315789, 'liquidity': 0.12046423981358448, 'size': 0.13274587761461087}",T+1平仓,其他,1
2024-03-20,2024-03-20,000032,20.53,21.06,2.54,2.34,57.68807615171403,"{'trend': 1.1459406985463558, 'momentum': 1.0004935237196968, 'quality': -0.23577932852683967, 'sentiment': 2.4256575301894943, 'valuation': -1.435981922533931, 'liquidity': 1.110299476590577, 'size': -0.37739057784604296}",T+1平仓,其他,1
2024-03-21,2024-03-21,000048,17.5,18.42,5.23,5.03,55.96756946921303,"{'trend': -0.9419417457929383, 'momentum': -0.7645581571372404, 'quality': -0.19293892307212981, 'sentiment': 3.0, 'valuation': 1.0655865425057818, 'liquidity': 0.11228282267227924, 'size': -0.0107364988914953}",T+1平仓,其他,1
2024-03-22,2024-03-22,000034,32.37,31.92,-1.41,-1.61,60.366244158622706,"{'trend': 1.6297106962325243, 'momentum': 1.4020492232010984, 'quality': -0.23216039571042568, 'sentiment': 1.0307960053980076, 'valuation': 0.6957127799374758, 'liquidity': 0.6368236458031866, 'size': -0.3121597950262629}",T+1平仓,其他,1
2024-03-25,2024-03-25,000037,8.56,8.86,3.48,3.28,57.29432123079538,"{'trend': 0.726127855405784, 'momentum': 1.05472036937546, 'quality': -0.2402728585061444, 'sentiment': 2.339688255144978, 'valuation': -1.0536785083410938, 'liquidity': 1.5876040749460698, 'size': -0.679554398054931}",T+1平仓,其他,1
