entry_date,exit_date,code,entry_price,exit_price,gross_return,net_return,score,factors,exit_reason,industry
2026-01-07,2026-01-07,000021,28.22,26.81,-5.0,-5.2,59.06920467149865,"{'trend': 0.505329330808529, 'momentum': 0.9245851170856794, 'quality': -0.14840611203951248, 'sentiment': 0.3879829335731647, 'valuation': 0.7959038219579617, 'liquidity': 1.7716302902235483}",止损(-5%),其他
2026-01-08,2026-01-08,000036,6.25,6.32,1.15,0.95,66.67872382187862,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.183930747969986, 'sentiment': 0.3040514210763907, 'valuation': -1.152554302159155, 'liquidity': 2.8360421832294413}",T+1平仓,其他
2026-01-08,2026-01-08,000048,15.47,15.18,-1.86,-2.06,63.85025645284756,"{'trend': 2.423478632267603, 'momentum': 1.4054873284518095, 'quality': -0.10927720344732728, 'sentiment': -0.44791933873385026, 'valuation': 1.2583935117133218, 'liquidity': 0.6519624362542414}",T+1平仓,其他
2026-01-09,2026-01-09,000036,6.37,6.66,4.5,4.3,70.66471604315169,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.179730398377996, 'sentiment': 2.1990155349386185, 'valuation': -1.1841931163384853, 'liquidity': 2.705801089126158}",T+1平仓,其他
2026-01-09,2026-01-09,000048,15.44,15.66,1.41,1.21,65.37177141176319,"{'trend': 2.2283223532294247, 'momentum': 1.334011940783655, 'quality': -0.10365927265550919, 'sentiment': 0.9376999898872982, 'valuation': 1.1529535085174418, 'liquidity': 0.2850465336529853}",T+1平仓,其他
2026-01-09,2026-01-09,000007,12.53,12.05,-3.83,-4.03,57.95812213337054,"{'trend': 1.284152867492371, 'momentum': 1.8304239500960005, 'quality': -0.018638350836312743, 'sentiment': -0.7655761985594769, 'valuation': 0.03504912690772429, 'liquidity': 1.1070158411480064}",T+1平仓,其他
2026-01-12,2026-01-12,000036,6.92,6.77,-2.03,-2.23,66.49240587276886,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.179730398377996, 'sentiment': 0.8912784384209133, 'valuation': -1.1841931163384853, 'liquidity': 1.8858666203141665}",T+1平仓,其他
2026-01-12,2026-01-12,000048,16.05,15.62,-2.73,-2.93,61.282642232531316,"{'trend': 1.8482404912611363, 'momentum': 1.3814838170764296, 'quality': -0.10365927265550919, 'sentiment': -0.29989992301118307, 'valuation': 1.1529535085174418, 'liquidity': 0.10431619301020241}",T+1平仓,其他
2026-01-12,2026-01-12,000021,27.2,27.2,0.01,-0.19,61.271391817300035,"{'trend': 0.9098779865640189, 'momentum': 0.6406719487796386, 'quality': -0.14840611203951248, 'sentiment': 1.398632184956806, 'valuation': 0.7959038219579617, 'liquidity': 1.3405536179637556}",T+1平仓,其他
2026-01-13,2026-01-13,000036,6.93,6.88,-0.61,-0.81,69.50168717144884,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.18102211873684082, 'sentiment': 1.9534818233884388, 'valuation': -1.1907204222330507, 'liquidity': 2.314387127823015}",T+1平仓,其他
