date,rank,code,score,buy,sell,return,factors,ma20,ret_20d
2026-03-10,3,600505,42,15.7,15.36,-2.17,"{'trend': 10, 'momentum': 10, 'quality': 10, 'sentiment': 10, 'value': 2}",14.41,11.56
2026-03-11,1,000026,42,15.7,15.44,-1.66,"{'trend': 10, 'momentum': 10, 'quality': 10, 'sentiment': 10, 'value': 2}",15.46,0.97
2026-03-11,2,600081,42,11.84,11.87,0.25,"{'trend': 10, 'momentum': 10, 'quality': 10, 'sentiment': 10, 'value': 2}",11.74,2.15
2026-03-11,3,600211,42,42.47,42.77,0.71,"{'trend': 10, 'momentum': 10, 'quality': 10, 'sentiment': 10, 'value': 2}",42.09,2.61
2026-03-12,1,000049,42,26.63,26.8,0.64,"{'trend': 10, 'momentum': 10, 'quality': 10, 'sentiment': 10, 'value': 2}",26.03,3.14
2026-03-12,2,600012,42,14.7,14.95,1.7,"{'trend': 10, 'momentum': 10, 'quality': 10, 'sentiment': 10, 'value': 2}",14.31,3.15
2026-03-12,3,600483,42,10.8,11.04,2.22,"{'trend': 10, 'momentum': 10, 'quality': 10, 'sentiment': 10, 'value': 2}",9.7,18.27
2026-03-13,1,600192,42,10.03,9.9,-1.3,"{'trend': 10, 'momentum': 10, 'quality': 10, 'sentiment': 10, 'value': 2}",9.67,6.03
2026-03-13,2,600458,42,15.01,15.05,0.27,"{'trend': 10, 'momentum': 10, 'quality': 10, 'sentiment': 10, 'value': 2}",14.3,2.57
2026-03-13,3,600886,42,15.01,14.78,-1.53,"{'trend': 10, 'momentum': 10, 'quality': 10, 'sentiment': 10, 'value': 2}",13.37,15.11
2026-03-16,1,600132,42,58.4,58.57,0.29,"{'trend': 10, 'momentum': 10, 'quality': 10, 'sentiment': 10, 'value': 2}",55.65,4.96
2026-03-16,2,600211,42,43.42,44.2,1.8,"{'trend': 10, 'momentum': 10, 'quality': 10, 'sentiment': 10, 'value': 2}",42.2,3.89
2026-03-16,3,600458,42,14.97,14.97,0.0,"{'trend': 10, 'momentum': 10, 'quality': 10, 'sentiment': 10, 'value': 2}",14.32,7.65
2026-03-17,1,600054,42,13.57,13.8,1.69,"{'trend': 10, 'momentum': 10, 'quality': 10, 'sentiment': 10, 'value': 2}",12.82,1.1
2026-03-17,2,600099,42,11.67,11.14,-4.54,"{'trend': 10, 'momentum': 10, 'quality': 10, 'sentiment': 10, 'value': 2}",11.27,2.73
2026-03-17,3,600250,42,11.62,11.59,-0.26,"{'trend': 10, 'momentum': 10, 'quality': 10, 'sentiment': 10, 'value': 2}",11.29,1.75
2026-03-18,1,000856,42,11.44,11.59,1.31,"{'trend': 10, 'momentum': 10, 'quality': 10, 'sentiment': 10, 'value': 2}",11.07,0.44
2026-03-18,2,600285,42,22.35,22.18,-0.76,"{'trend': 10, 'momentum': 10, 'quality': 10, 'sentiment': 10, 'value': 2}",21.64,0.9
2026-03-18,3,600619,42,18.41,17.88,-2.88,"{'trend': 10, 'momentum': 10, 'quality': 10, 'sentiment': 10, 'value': 2}",18.25,0.91
2026-03-19,1,603041,42,13.4,12.83,-4.25,"{'trend': 10, 'momentum': 10, 'quality': 10, 'sentiment': 10, 'value': 2}",13.37,0.15
2026-03-19,2,603787,42,13.95,13.75,-1.43,"{'trend': 10, 'momentum': 10, 'quality': 10, 'sentiment': 10, 'value': 2}",13.57,3.98
2026-03-19,3,603811,42,11.86,11.64,-1.85,"{'trend': 10, 'momentum': 10, 'quality': 10, 'sentiment': 10, 'value': 2}",11.58,3.18
2026-03-20,1,605296,42,30.75,30.56,-0.62,"{'trend': 10, 'momentum': 10, 'quality': 10, 'sentiment': 10, 'value': 2}",28.82,12.38
2026-03-20,2,001286,42,11.49,11.34,-1.31,"{'trend': 10, 'momentum': 10, 'quality': 10, 'sentiment': 10, 'value': 2}",10.74,14.86
2026-03-20,3,002423,42,11.23,11.02,-1.87,"{'trend': 10, 'momentum': 10, 'quality': 10, 'sentiment': 10, 'value': 2}",10.98,4.91
2026-03-23,1,000049,42,27.38,26.61,-2.81,"{'trend': 10, 'momentum': 10, 'quality': 10, 'sentiment': 10, 'value': 2}",26.33,3.93
2026-03-23,2,600062,42,18.74,17.7,-5.55,"{'trend': 10, 'momentum': 10, 'quality': 10, 'sentiment': 10, 'value': 2}",18.24,0.76
2026-03-23,3,600285,42,22.24,21.75,-2.2,"{'trend': 10, 'momentum': 10, 'quality': 10, 'sentiment': 10, 'value': 2}",21.66,3.21
2026-03-24,1,001256,42,23.75,25.46,7.2,"{'trend': 10, 'momentum': 10, 'quality': 10, 'sentiment': 10, 'value': 2}",22.61,6.43
