entry_date,exit_date,code,entry_price,exit_price,gross_return,net_return,score,factors,exit_reason
2026-03-20,2026-03-20,688717,128.94,143.86,11.57,11.37,72.28112827761747,"{'trend': 3.0, 'momentum': 2.755464673810862, 'quality': -0.5280612113828845, 'sentiment': 3.0, 'valuation': -0.28964393033581887, 'liquidity': 1.8562987911327595}",T+1平仓
2026-03-20,2026-03-20,001896,14.51,15.2,4.76,4.56,71.67993248409101,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.4872405897263382, 'sentiment': 1.6836482295974393, 'valuation': 0.10811760000957313, 'liquidity': 2.186061957764706}",T+1平仓
2026-03-23,2026-03-23,300720,56.69,60.72,7.11,6.91,77.84820063694553,"{'trend': 3.0, 'momentum': 3.0, 'quality': 1.4028572970377085, 'sentiment': 3.0, 'valuation': -0.27416845214441, 'liquidity': 1.3080894015104252}",T+1平仓
2026-03-23,2026-03-23,001896,14.97,16.19,8.14,7.94,74.66232255167463,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.4928214018739572, 'sentiment': 3.0, 'valuation': 0.11363714902947539, 'liquidity': 2.1999168734720502}",T+1平仓
2026-03-23,2026-03-23,600396,6.66,6.88,3.4,3.2,74.38085467494543,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.5988799895404465, 'sentiment': 3.0, 'valuation': -0.27416845214441, 'liquidity': 3.0}",T+1平仓
2026-03-23,2026-03-23,601218,6.77,7.18,6.15,5.95,74.11222763993362,"{'trend': 2.8904199868243667, 'momentum': 2.925392573439239, 'quality': -0.5498551042118779, 'sentiment': 2.471227437043202, 'valuation': 0.14937932283688699, 'liquidity': 3.0}",T+1平仓
2026-03-23,2026-03-23,601330,9.5,10.37,9.16,8.96,73.99103460581705,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.4248661842662583, 'sentiment': 3.0, 'valuation': 0.25669797490845575, 'liquidity': 1.330359489260307}",T+1平仓
2026-03-24,2026-03-24,600821,10.22,9.71,-5.0,-5.2,75.17906258446835,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.46366630170451334, 'sentiment': 2.4907128813460657, 'valuation': 0.23865250218441583, 'liquidity': 3.0}",止损(-5%)
2026-03-24,2026-03-24,000601,7.51,8.05,7.25,7.05,73.38204398327166,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.45940590429553174, 'sentiment': 2.460355232748557, 'valuation': -0.3418458591753343, 'liquidity': 3.0}",T+1平仓
2026-03-24,2026-03-24,300658,22.45,21.33,-5.0,-5.2,73.15488626099572,"{'trend': 3.0, 'momentum': 2.9076725406999597, 'quality': 1.2939705100318097, 'sentiment': 1.1169446420246085, 'valuation': -0.3737401011612002, 'liquidity': 1.559204248835746}",止损(-5%)
2026-03-24,2026-03-24,601330,10.21,11.17,9.39,9.19,71.49900925676698,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.3744521650240627, 'sentiment': 1.613200032728863, 'valuation': 0.27814207012255027, 'liquidity': 1.6054929785543797}",T+1平仓
2026-03-24,2026-03-24,600396,6.91,7.57,9.64,9.44,71.26711322781385,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.5541344557253278, 'sentiment': 2.4811955516122746, 'valuation': -0.3737401011612002, 'liquidity': 1.8120312715638816}",T+1平仓
