entry_date,exit_date,code,entry_price,exit_price,gross_return,net_return,exit_reason,regime,hold_days
2025-01-02,2025-01-03,002743,6.23,5.66,-0.09149277688603535,-0.09429277688603535,stop_loss,bull,1
2025-01-02,2025-01-06,600327,5.8231,5.2369,-0.10066802905668798,-0.10346802905668798,stop_loss,bull,2
2025-01-02,2025-01-06,002298,5.11,4.67,-0.0861056751467711,-0.0889056751467711,stop_loss,bull,2
2025-01-02,2025-01-07,300182,5.54,5.68,0.025270758122743625,0.022470758122743625,time_exit,bull,3
2025-01-02,2025-01-07,600839,9.2443,8.7467,-0.05382776413573772,-0.05662776413573772,time_exit,bull,3
2025-01-03,2025-01-08,002467,5.0901,5.3496,0.050981316673542776,0.04818131667354278,time_exit,bull,3
2025-01-03,2025-01-08,002599,6.5858,6.8153,0.0348477026329375,0.032047702632937505,time_exit,bull,3
2025-01-03,2025-01-08,600609,6.35,6.22,-0.020472440944881876,-0.023272440944881876,time_exit,bull,3
2025-01-03,2025-01-08,600718,8.7001,8.6411,-0.0067815312467673985,-0.009581531246767399,time_exit,bull,3
2025-01-03,2025-01-08,603936,7.27,7.35,0.011004126547455306,0.008204126547455306,time_exit,bull,3
2025-01-08,2025-01-10,002591,5.01,4.59,-0.08383233532934131,-0.08663233532934131,stop_loss,bull,2
2025-01-08,2025-01-13,000678,5.91,5.85,-0.010152284263959475,-0.012952284263959475,time_exit,bull,3
2025-01-08,2025-01-13,002520,5.7,5.68,-0.003508771929824642,-0.006308771929824642,time_exit,bull,3
2025-01-08,2025-01-13,002094,5.3,5.07,-0.043396226415094254,-0.04619622641509425,time_exit,bull,3
2025-01-08,2025-01-13,300459,5.38,5.44,0.011152416356877417,0.008352416356877416,time_exit,bull,3
2025-01-10,2025-01-15,000017,5.68,5.66,-0.0035211267605633053,-0.006321126760563305,time_exit,bull,3
2025-01-10,2025-01-15,000716,6.6884,7.4426,0.11276239459362479,0.1099623945936248,time_exit,bull,3
2025-01-10,2025-01-15,002681,6.3,7.11,0.12857142857142864,0.12577142857142865,time_exit,bull,3
2025-01-10,2025-01-15,603001,5.0331,4.9161,-0.023246110746855814,-0.026046110746855814,time_exit,bull,3
2025-01-10,2025-01-15,002510,5.2166,5.565,0.06678679599739308,0.06398679599739308,time_exit,bull,3
2025-01-15,2025-01-20,002593,5.0898,5.4661,0.07393217808165342,0.07113217808165342,time_exit,bull,3
2025-01-15,2025-01-20,002514,7.67,7.66,-0.0013037809647978862,-0.004103780964797886,time_exit,bull,3
2025-01-15,2025-01-20,600824,5.2153,5.0958,-0.022913351101566618,-0.02571335110156662,time_exit,bull,3
2025-01-15,2025-01-20,002148,6.3215,6.4311,0.017337657201613458,0.014537657201613458,time_exit,bull,3
2025-01-16,2025-01-21,002235,5.37,5.22,-0.027932960893854813,-0.030732960893854813,time_exit,bear,3
2025-01-16,2025-01-21,000530,5.4194,5.9057,0.08973318079492193,0.08693318079492193,time_exit,bear,3
2025-01-20,2025-01-23,002446,5.85,5.82,-0.005128205128205019,-0.007928205128205018,time_exit,bear,3
2025-01-20,2025-01-23,605069,7.13,7.01,-0.016830294530154295,-0.019630294530154295,time_exit,bear,3
2025-01-20,2025-01-23,300437,8.18,7.69,-0.05990220048899748,-0.06270220048899748,stop_loss,bear,3
2025-01-20,2025-01-23,300647,6.22,5.98,-0.038585209003215326,-0.04138520900321532,time_exit,bear,3
2025-01-23,2025-02-05,300098,5.01,5.28,0.05389221556886237,0.05109221556886237,time_exit,bear,3
2025-01-23,2025-02-05,002369,6.17,6.64,0.07617504051863853,0.07337504051863854,time_exit,bear,3
2025-02-05,2025-02-10,603687,6.4258,6.8819,0.07097948893522989,0.06817948893522989,time_exit,bear,3
2025-02-05,2025-02-10,000528,10.3584,10.7085,0.03379865616311411,0.03099865616311411,time_exit,bear,3
2025-02-10,2025-02-13,002697,5.3429,5.3233,-0.003668419772034009,-0.006468419772034009,time_exit,bear,3
2025-02-12,2025-02-17,300040,6.0871,6.1267,0.00650556094034913,0.00370556094034913,time_exit,bear,3
2025-02-12,2025-02-17,002277,5.25,5.13,-0.022857142857142878,-0.02565714285714288,time_exit,bear,3
2025-02-17,2025-02-20,600884,6.6,7.52,0.1393939393939394,0.1365939393939394,time_exit,bear,3
2025-02-17,2025-02-20,002225,5.2674,5.4658,0.03766564149295657,0.034865641492956574,time_exit,bear,3
2025-02-20,2025-02-25,002164,6.45,6.5,0.007751937984496096,0.004951937984496096,time_exit,bear,3
2025-02-20,2025-02-25,002361,5.1891,5.8538,0.12809543080688363,0.12529543080688363,time_exit,bear,3
2025-02-25,2025-02-28,000016,5.36,5.24,-0.022388059701492557,-0.025188059701492557,time_exit,bear,3
2025-02-26,2025-03-03,601500,5.57,5.3,-0.048473967684021624,-0.05127396768402162,time_exit,bear,3
2025-02-26,2025-03-03,000759,9.08,10.12,0.11453744493392061,0.11173744493392061,time_exit,bear,3
2025-03-03,2025-03-06,002615,8.0321,7.9547,-0.009636334208986432,-0.012436334208986433,time_exit,bull,3
