date,code,score,turnover_score,lowvol_score,reversal_score,entry_price,exit_price,net_return
2024-04-16,002936,80.94436608317699,100.0,77.7546214239641,62.43416194929854,1.8631,1.8928,0.013141173313295076
2024-09-18,000778,80.90696830014748,100.0,69.83319863490149,71.55116259310657,3.0236,3.0534,0.007055801031882466
2024-04-11,002936,80.61136902927836,100.0,79.3489744242311,59.46409326932496,1.9126,1.8631,-0.028680999686290964
2024-09-11,000778,80.0615350408837,100.0,69.27763158669633,69.3812132851333,3.0833,3.0236,-0.022162371485097095
2024-09-11,601158,80.05254184600875,100.0,63.96870809460983,75.54498004298436,4.0535,4.1116,0.011533292216603055
2024-04-08,002936,79.99025370956115,100.0,78.22811802364062,58.70137467095644,1.9324,1.9126,-0.013046325812461094
2024-09-18,601158,79.94873402351932,100.0,63.92944500749605,75.24476090298567,4.1116,4.1309,0.0018940363848622016
2024-09-18,601997,79.94396081484598,100.0,72.10851055247947,65.6866070715939,4.4875,4.5638,0.014202785515320292
2024-09-18,600820,79.75678814795542,100.0,55.204698307065,84.78381246827558,4.9937,5.0597,0.010416652982758422
2024-09-18,601018,79.75620139169662,100.0,70.61503733807534,66.80312774456752,3.1343,3.1825,0.01257823437450149
2024-06-24,002936,79.39723709244483,100.0,70.14625921495164,66.15348789070586,1.7243,1.7243,-0.0028
2024-06-24,600016,79.33706598585901,100.0,74.12855857507861,61.30690161527166,3.2113,3.2811,0.018935745648179823
2024-04-11,601211,79.28386175529853,100.0,68.83954506110342,67.30006994637445,12.5213,12.4175,-0.011089874054610918
2024-08-29,600170,79.24710057038783,100.0,62.223302269152505,74.89648258728151,1.9135,1.9135,-0.0028
2024-09-11,601018,79.23109326359494,100.0,70.91383177572979,64.70417380696506,3.1054,3.1343,0.006506369549816496
2024-08-26,601006,79.21761648028343,100.0,79.07631680039677,55.13635200048187,6.4135,5.8262,-0.09437246433304747
2024-09-11,601916,79.15607916933,100.0,67.28786111990176,68.68442592454795,2.353,2.3722,0.005359796005099728
2024-04-24,002936,79.08524908101202,100.0,75.42605788366868,58.95376273909333,1.873,1.9225,0.02362819006940742
2024-04-01,002936,79.07204142477991,100.0,76.85188620843397,57.24627083942674,1.9523,1.9324,-0.012993105567791851
2024-08-21,601006,79.05636487807048,100.0,79.34604546009962,54.28416322345206,6.442,6.4135,-0.00722409189692645
2024-09-11,600820,79.0556175259382,100.0,54.31816181727131,83.48086963297747,4.9843,4.9937,-0.0009140782055655943
2024-04-19,002936,79.03364666866042,100.0,74.76174473594314,59.55678670360109,1.8928,1.873,-0.013260693153000866
2024-09-23,600177,79.01782373231133,100.0,68.15412289598572,67.21293572905444,6.0797,6.7879,0.1136860108229024
