date,code,score,return,net_return
2024-01-31,002259,78.54297796250493,-0.006134969325153244,-0.008934969325153244
2024-01-31,603223,77.77821294190427,-0.12599007897505876,-0.12879007897505876
2024-01-31,000767,77.13900922259603,-0.15018315018315023,-0.15298315018315023
2024-01-31,600673,77.11549387118065,0.0533106503394028,0.0505106503394028
2024-01-31,603031,76.82459914171983,-0.07246589513851352,-0.07526589513851352
2024-02-05,605266,78.50929081318903,0.19167322437301976,0.18887322437301976
2024-02-05,002259,78.32564191613673,-0.006172839506172844,-0.008972839506172845
2024-02-05,603031,77.00469543875128,0.06328078266406813,0.06048078266406813
2024-02-05,300558,76.3822302025657,0.21597734362645715,0.21317734362645716
2024-02-05,000516,76.3316091295667,0.10676156583629887,0.10396156583629887
2024-02-08,002259,78.80308892024433,0.009316770186335343,0.006516770186335343
2024-02-08,600226,76.09157913367059,0.029661016949152665,0.026861016949152664
2024-02-08,603001,75.86015495681268,0.09343003412969272,0.09063003412969273
2024-02-08,600078,74.57497613887415,0.08800176887977652,0.08520176887977653
2024-02-08,600919,74.24025034721434,0.07830062869117925,0.07550062869117925
2024-02-21,002259,78.08722975768286,0.04923076923076927,0.046430769230769275
2024-02-21,600226,73.30235476199667,-0.0041152263374486546,-0.006915226337448654
2024-02-21,301286,73.05668456813899,0.0779255842297502,0.0751255842297502
2024-02-21,601229,72.48982351077386,-0.018153700156406508,-0.020953700156406508
2024-02-21,600887,71.53421458118063,-0.005547462045698523,-0.008347462045698523
2024-02-26,600226,74.27416159303837,-0.02892561983471068,-0.03172561983471068
2024-02-26,601229,72.23058997378192,0.006157150528011572,0.003357150528011572
2024-02-26,600887,71.81335664737897,-0.011850743851992833,-0.014650743851992833
2024-02-26,601006,71.462140207919,-0.018425337773409475,-0.021225337773409476
2024-02-26,601916,70.7618761703735,0.007268492490563008,0.004468492490563008
2024-02-29,600226,74.31338811013637,0.05531914893617017,0.05251914893617017
2024-02-29,601229,72.90831150482269,0.01378660120254735,0.010986601202547349
2024-02-29,601006,72.75574158401352,0.010715726861054351,0.00791572686105435
2024-02-29,600887,72.25236560902307,0.017638177427346313,0.014838177427346312
2024-02-29,601916,71.37315271186733,0.0035880875493361623,0.0007880875493361623
2024-03-05,601229,73.12582628749742,0.0,-0.0028
2024-03-05,601006,73.07605702425633,-0.013248950138995798,-0.016048950138995797
2024-03-05,601916,73.0466700417437,0.0035752592062924153,0.0007752592062924154
2024-03-05,600000,72.53412177870874,-0.005594259543806729,-0.008394259543806728
2024-03-05,601868,72.48886396938812,0.004627421047609981,0.0018274210476099807
2024-03-08,601006,73.72012839892079,-0.024201282742911844,-0.027001282742911845
2024-03-08,601229,72.94231951027714,-0.025689168085069023,-0.028489168085069023
2024-03-08,601166,72.8301121994731,-0.010312650044882937,-0.013112650044882938
2024-03-08,600000,72.39627975757261,-0.011236460739896115,-0.014036460739896115
2024-03-08,600887,72.01224898524268,-0.0045922295567619,-0.007392229556761901
2024-03-13,601006,74.9711033756037,0.008262051384431077,0.005462051384431076
2024-03-13,601229,74.75335631318111,0.020153084196307867,0.017353084196307867
2024-03-13,600000,74.45449901391801,0.007100699449240511,0.004300699449240511
2024-03-13,601128,74.08599349213189,0.011763571497444787,0.008963571497444787
2024-03-13,600887,74.04942833542619,0.0333657908375606,0.030565790837560596
2024-03-18,601006,75.49442314602774,0.005467976544056024,0.0026679765440560236
2024-03-18,600000,75.18760215906842,0.0014161531855914394,-0.0013838468144085605
2024-03-18,601128,74.89237472589105,0.008710568950729072,0.005910568950729072
2024-03-18,601166,74.85315016127804,-0.0024448678790596275,-0.0052448678790596275
2024-03-18,600585,74.071302281471,-0.03207947647334759,-0.03487947647334759
2024-03-21,601166,76.6945482801087,0.007963539069796865,0.0051635390697968644
2024-03-21,601006,76.34919103945967,-0.009513133577725966,-0.012313133577725966
2024-03-21,600585,76.15529483145852,-0.013253231734820172,-0.01605323173482017
2024-03-21,600000,75.69235712935716,0.007040664349866886,0.004240664349866885
2024-03-21,601229,74.9960466741754,0.021290869288892116,0.018490869288892115
2024-03-26,601166,75.82507296417725,-0.04131454090696912,-0.04411454090696912
2024-03-26,600585,75.73718030339587,-0.0022417817545224246,-0.005041781754522424
2024-03-26,601006,75.42055360419602,0.009604502492888415,0.006804502492888415
2024-03-26,600000,74.96006350315761,-0.002793588192234712,-0.0055935881922347126
2024-03-26,601868,74.35269653101544,-0.004692564462290185,-0.0074925644622901855
2024-03-29,601166,76.39870196123938,-0.02344425630255164,-0.02624425630255164
2024-03-29,600585,75.59615653116771,0.0004483889676818717,-0.002351611032318128
2024-03-29,601211,75.2731573031386,-0.010093677888656357,-0.012893677888656358
2024-03-29,600000,75.10745874669293,0.014022051773729545,0.011222051773729544
2024-03-29,601006,75.04707417384105,0.006786439240161238,0.003986439240161238
2024-04-03,601166,77.06844147103742,0.020115049450426834,0.017315049450426834
2024-04-03,600585,76.23921507224757,-0.0233252627015019,-0.0261252627015019
2024-04-03,600900,75.73178659913866,0.04869069428837526,0.045890694288375264
2024-04-03,600887,75.48185399579071,-0.017348133876428425,-0.020148133876428425
2024-04-03,601211,75.39036245081712,-0.028405363056046448,-0.03120536305604645
