date,code,score,turnover_score,lowvol_score,reversal_score,entry_price,exit_price,net_return
2025-12-24,000101,84.82389430374405,100.0,99.69196218080027,49.77235846821323,251.4996,251.5364,-0.002653677699686204
2025-12-08,000116,84.8238082975543,100.0,99.39518775636991,50.118308609416104,198.6453,198.7027,-0.002511042748053937
2025-12-19,000101,84.82012319358707,100.0,99.69011952679472,49.761937864029726,251.4253,251.4996,-0.0025044847913078204
2025-12-16,000101,84.81887586995703,100.0,99.69100079233257,49.7567519754688,251.3854,251.4253,-0.002641279565161745
2025-12-11,000101,84.81593091877866,100.0,99.69156792204551,49.746273820209126,251.3248,251.3854,-0.002558877755000725
2025-12-08,000101,84.81307490649858,100.0,99.69390255330548,49.73403004280554,251.3002,251.3248,-0.0027021091109357617
2025-12-11,000116,84.81224262813274,100.0,99.39719686057116,50.07741242310944,198.7027,198.8013,-0.0023037812772548905
2025-12-03,000101,84.8063260697261,100.0,99.6795170555174,49.72831700098336,251.2244,251.3002,-0.0024982777150627617
2025-12-16,000116,84.80138241254869,100.0,99.3956033086511,50.04307084840268,198.8013,198.8191,-0.0027104633621611424
2025-11-28,000101,84.80013603105893,100.0,99.6764421687291,49.711270906679154,251.15,251.2244,-0.002503762691618566
2025-12-03,000116,84.79919084156536,100.0,99.36532724428262,50.07108768688817,198.6744,198.6453,-0.0029464708085188613
2025-11-17,000101,84.79770273628216,100.0,99.67790154411246,49.701457319476,250.9652,251.0112,-0.0026167076550852775
2025-11-07,000101,84.79750760549072,100.0,99.67988073901584,49.69849782278391,250.7998,250.8916,-0.002433970999976849
2025-11-20,000101,84.79650825815054,100.0,99.6788130726681,49.696412275722324,251.0112,251.1014,-0.0024406534847847025
2025-11-12,000101,84.79565656579123,100.0,99.6808776634397,49.69116461195777,250.8916,250.9652,-0.002506646216931938
2025-11-25,000101,84.79531674626182,100.0,99.67402984213518,49.69802100504834,251.1014,251.15,-0.002606452692020063
2025-12-19,000116,84.78442885015757,100.0,99.40063945212066,49.98068347305119,198.8191,198.8836,-0.0024755844886129677
